id z dz m dm
06D2fb 0.1253030002 0.001000000047 19.4684 0.10355
06D2gb 0.4436739981 0.001000000047 22.57415 0.1349
06D3cc 0.6836559772 0.001000000047 23.9441 0.2905
06D3do 0.7266759872 0.001000000047 23.90005 0.1628
06D3ed 0.4045459926 0.001000000047 22.44625 0.1075
06D3em 0.690648973 0.009999999776 23.7527 0.18375
06D3et 0.5766090155 0.001000000047 23.2437 0.1229
06D3gh 0.7206770182 0.001000000047 23.87645 0.2029
06D4bo 0.550311029 0.001000000047 23.16815 0.1249
06D4ce 0.8479800224 0.009999999776 24.3105 0.16975
06D4co 0.4354420006 0.001000000047 22.36675 0.109
06D4dh 0.3015860021 0.001000000047 21.64245 0.0939
03D1aw 0.580730021 0.004999999888 23.52355 0.1372
03D1bp 0.3459329903 0.001000000047 22.11525 0.111
03D1fc 0.3309369981 0.001000000047 21.7829 0.10685
03D3aw 0.4495590031 0.001000000047 22.78895 0.14135
03D3ba 0.2917160094 0.0003000000142 21.47215 0.12535
03D3cd 0.4612720013 0.0005000000237 22.62945 0.13775
03D4at 0.6322289705 0.001000000047 23.66065 0.20445
03D4cj 0.2686200142 0.009999999776 21.1762 0.0993
03D4cy 0.9249119759 0.001000000047 24.7416 0.1923
03D4dh 0.625229001 0.0003999999899 23.46015 0.1303
03D4dy 0.6082569957 0.009999999776 23.3767 0.1266
03D4gf 0.5782870054 0.009999999776 23.2373 0.13895
04D1aj 0.7196329832 0.009999999776 23.82525 0.2057
04D1de 0.7665960193 0.001000000047 24.24705 0.1593
04D1hd 0.3679090142 0.001000000047 22.24455 0.1019
04D1hy 0.8485159874 0.009999999776 24.33175 0.14855
04D1jd 0.7766010165 0.001000000047 24.0942 0.17835
04D1kj 0.583747983 0.001000000047 23.2686 0.09915
04D1oh 0.5887269974 0.009999999776 23.30085 0.13005
04D1pc 0.7685930133 0.001000000047 24.2078 0.16885
04D1pg 0.5137990117 0.001000000047 23.12745 0.1329
04D1pu 0.637706995 0.001000000047 23.37 0.2329
04D1rh 0.4348660111 0.001000000047 22.5623 0.1145
04D1sa 0.5837489963 0.001000000047 23.46355 0.14025
04D1sk 0.6620640159 0.0005000000237 23.74875 0.17955
04D2an 0.6218810081 0.009999999776 23.4108 0.1628
04D2fp 0.4166379869 0.001000000047 22.5154 0.11755
04D2gb 0.4516879916 0.009999999776 22.36265 0.1377
04D2gp 0.7340040207 0.001000000047 24.04855 0.24055
04D2ja 0.7420160174 0.001000000047 24.26275 0.21515
04D2mc 0.3495660126 0.001000000047 21.74 0.12
04D2mj 0.514752984 0.001000000047 23.18845 0.1355
04D3cy 0.6436439753 0.001000000047 23.60755 0.1943
04D3df 0.4705829918 0.009999999776 22.65205 0.12925
04D3ez 0.2634850144 0.0005000000237 21.15515 0.1079
04D3fq 0.7426940203 0.001000000047 23.92255 0.19885
04D3gx 0.9107490182 0.009999999776 24.6116 0.16365
04D3kr 0.3375320137 0.001000000047 21.9137 0.10655
04D3lp 0.9837729931 0.001000000047 24.92305 0.1439
04D3mk 0.813692987 0.001000000047 24.26675 0.14105
04D3nc 0.8177289963 0.001000000047 24.3431 0.12085
04D3nr 0.9607470036 0.009999999776 24.5736 0.1577
04D3oe 0.7566840053 0.001000000047 24.03965 0.1583
04D4bk 0.8779659867 0.009999999776 24.42165 0.14325
04D4dm 0.8090270162 0.001000000047 24.20795 0.1668
04D4fx 0.6272339821 0.001000000047 23.4134 0.138
04D4hf 0.9338939786 0.009999999776 24.7653 0.2009
04D4ib 0.6971589923 0.001000000047 23.78265 0.16195
04D4id 0.7670699954 0.001000000047 24.3849 0.17855
04D4ii 0.8639720082 0.001000000047 24.39625 0.15285
04D4in 0.5143489838 0.0005000000237 22.98745 0.11725
04D4ju 0.4703939855 0.001000000047 23.1005 0.141
04D4jy 0.9279040098 0.009999999776 24.7789 0.1829
05D1cb 0.630704999 0.001000000047 23.4092 0.1432
05D1ck 0.615704 0.001000000047 23.56625 0.1433
05D1dn 0.5647469759 0.001000000047 23.2891 0.13595
05D1ee 0.5577489734 0.001000000047 23.2494 0.1349
05D1eo 0.7356140018 0.001000000047 24.06925 0.19205
05D1hk 0.2619889975 0.001000000047 21.15835 0.1082
05D1if 0.7615870237 0.001000000047 23.97575 0.15445
05D1iz 0.8585230112 0.009999999776 24.54425 0.17845
05D1kl 0.5587480068 0.001000000047 23.6061 0.15165
05D2ac 0.4807099998 0.001000000047 22.74835 0.1138
05D2ay 0.922228992 0.009999999776 24.57175 0.18725
05D2bv 0.4757139981 0.001000000047 22.6952 0.109
05D2by 0.89319098 0.001000000047 24.5781 0.1577
05D2ci 0.6318889856 0.001000000047 23.1617 0.17705
05D2ct 0.7360150218 0.001000000047 24.02845 0.2108
05D2dw 0.4186399877 0.001000000047 22.38625 0.1152
05D2eb 0.535777986 0.001000000047 22.98355 0.1266
05D2fq 0.7350040078 0.001000000047 24.09175 0.17825
05D2he 0.6098669767 0.001000000047 23.5447 0.14865
05D2le 0.7019760013 0.001000000047 23.8387 0.16475
05D2my 0.9832890034 0.001000000047 24.78095 0.143
05D2nt 0.7590379715 0.001000000047 24.0557 0.15165
05D3ax 0.6436390281 0.001000000047 23.6045 0.2013
05D3ci 0.5155850053 0.001000000047 23.02365 0.1762
05D3cx 0.8056929708 0.001000000047 24.0139 0.1301
05D3dh 0.8006939888 0.009999999776 23.82255 0.1606
05D3gv 0.7156490088 0.001000000047 23.84395 0.19425
05D3hh 0.7666810155 0.001000000047 24.2307 0.1806
05D3ht 0.9017329812 0.001000000047 24.5128 0.1511
05D3jh 0.7186769843 0.001000000047 23.68915 0.15095
05D3jq 0.5795980096 0.001000000047 23.1779 0.1197
05D3km 0.96073699 0.009999999776 24.80925 0.14255
05D3kt 0.6486369967 0.001000000047 23.53665 0.159
05D3la 0.936751008 0.001000000047 24.4717 0.1405
05D3lc 0.4615609944 0.001000000047 22.76265 0.11115
05D3mh 0.6706510186 0.009999999776 23.78495 0.1775
05D3mq 0.2464900017 0.001000000047 21.16055 0.10805
05D4ag 0.6382300258 0.009999999776 23.49005 0.184
05D4be 0.5353230238 0.001000000047 23.06945 0.11085
05D4bi 0.7730759978 0.001000000047 24.17605 0.17625
05D4bm 0.3705079854 0.001000000047 22.15255 0.1043
05D4cq 0.6991639733 0.001000000047 23.88895 0.1728
05D4cw 0.3735089898 0.001000000047 22.11185 0.1039
05D4dw 0.852989018 0.001000000047 24.3052 0.1508
05D4ef 0.6032680273 0.001000000047 23.58805 0.1429
05D4ek 0.5343310237 0.001000000047 22.9223 0.1289
05D4ff 0.4004809856 0.001000000047 22.2601 0.1151
05D4fo 0.3715040088 0.001000000047 22.20135 0.10745
05D4hn 0.8399999738 0.001000000047 24.0253 0.15175
06D2ca 0.5327720046 0.001000000047 23.059 0.11385
06D2cd 0.9322379827 0.001000000047 24.704 0.21015
06D2ck 0.5538039804 0.001000000047 23.2838 0.1242
06D2ga 0.8421319723 0.009999999776 24.3261 0.1858
06D3bz 0.7276719809 0.001000000047 23.8687 0.19785
06D3df 0.4425449967 0.001000000047 22.67285 0.1137
06D3dt 0.2825079858 0.001000000047 21.5746 0.1073
06D3el 0.5196080208 0.001000000047 23.03865 0.109
06D3en 1.060798049 0.009999999776 24.6873 0.16415
06D3fp 0.2684859931 0.001000000047 21.24725 0.1051
06D3gn 0.2504960001 0.001000000047 21.1763 0.1114
06D4ba 0.6981620193 0.009999999776 23.7924 0.2171
06D4bw 0.7301229835 0.001000000047 23.7684 0.19115
06D4cl 0.9978209734 0.009999999776 24.6122 0.0953
06D4cq 0.4094659984 0.001000000047 22.451 0.10895
744 0.1269399971 1.999999949e-05 19.5429 0.11965
1112 0.2560899854 2.900000072e-05 21.3344 0.1818
1241 0.08848279715 1.599999996e-05 18.64345 0.10605
1371 0.1179807708 2.400000085e-05 19.19345 0.0991
1580 0.1832199991 9.999999747e-05 20.2951 0.1284
1794 0.1406999975 1.999999949e-05 19.871 0.11635
2031 0.1518599987 0.0005000000237 19.7933 0.10325
2102 0.0939470008 0.0 18.889 0.10285
2165 0.2866199911 0.0 21.6827 0.1504
2422 0.2634899914 0.0 21.3576 0.14295
2635 0.1430999935 0.0005000000237 19.79675 0.1047
2689 0.1603558511 4.600000102e-05 19.9329 0.1156
2916 0.1230299994 0.0005000000237 19.3948 0.11665
2992 0.1260800809 1.70000003e-05 19.36855 0.113
3080 0.173150003 2.499999937e-05 20.15345 0.09925
3087 0.1643099934 1.499999962e-05 20.03175 0.1083
3317 0.1598999947 0.0005000000237 19.92285 0.11045
3377 0.2444799989 0.0005000000237 20.86815 0.1298
3451 0.2483499944 4.099999933e-05 20.98175 0.13435
4046 0.2754400074 0.0005000000237 21.37075 0.15505
4241 0.3305099905 7.500000356e-05 21.9321 0.1589
4679 0.3310300112 0.0 21.82885 0.1481
5103 0.1605844349 1.200000042e-05 19.98615 0.10955
5533 0.2188699991 2.700000005e-05 20.87005 0.13435
5549 0.1199194863 2.200000017e-05 19.36835 0.1021
5635 0.1783899963 0.0005000000237 20.72835 0.1286
5957 0.2792299986 4.300000001e-05 21.50115 0.13265
5994 0.1858099997 0.004999999888 20.48365 0.1298
6057 0.06619153172 9.000000318e-06 17.9881 0.1134
6108 0.2579999864 0.004999999888 21.2775 0.14285
6196 0.2797999978 5.700000111e-05 21.2773 0.1398
6315 0.2657600045 0.0 21.0609 0.1301
6422 0.1850000024 3.300000026e-05 20.37525 0.1056
6558 0.05703572556 1.999999949e-05 17.65695 0.1072
6924 0.3264000118 0.0 21.6733 0.1464
7147 0.1088732705 1.999999949e-05 19.1721 0.10285
7243 0.2032299936 1.999999949e-05 20.7001 0.1382
7779 0.3798600137 0.0 22.13745 0.1395
7847 0.2116000056 2.800000038e-05 20.68915 0.12295
8495 0.213530004 1.499999962e-05 20.78295 0.1364
8921 0.1440899968 2.599999971e-05 19.83575 0.113
9032 0.2524900138 0.0 21.1678 0.16095
9457 0.2567200065 4.300000001e-05 21.2758 0.1749
9467 0.2188500017 2.800000038e-05 20.976 0.1685
12779 0.07875318825 2.900000072e-05 18.5397 0.12205
12781 0.08304723352 1.400000019e-05 18.7438 0.11605
12856 0.1702799946 1.499999962e-05 20.2489 0.107
12881 0.2366999984 3.799999831e-05 20.87655 0.14325
12883 0.3056899905 0.0 21.3803 0.19765
12898 0.08253999799 0.0005000000237 18.5179 0.1055
12927 0.1889099926 2.200000017e-05 20.2039 0.1187
12950 0.08135464787 1.499999962e-05 18.511 0.10425
12972 0.256550014 0.0 21.2564 0.16145
13005 0.1262305081 2.200000017e-05 19.58525 0.13485
13038 0.102640003 0.004999999888 19.16175 0.1443
13044 0.1245686486 3.500000093e-05 19.4784 0.1006
13136 0.3704600036 4.700000136e-05 22.46065 0.1636
13152 0.2021500021 1.899999916e-05 20.38595 0.11475
13254 0.1799000055 1.899999916e-05 20.68245 0.14335
13411 0.1617999971 0.0005000000237 20.1359 0.1299
13578 0.2266899943 0.0005000000237 20.8771 0.141
13610 0.2968299985 1.100000009e-05 21.4449 0.1446
13689 0.2502900064 0.0005000000237 21.20115 0.13305
13736 0.1488582492 3.40000006e-05 19.91815 0.1063
13796 0.1473135948 3.099999958e-05 19.776 0.10335
14019 0.2151300013 0.0005000000237 21.20185 0.1483
14024 0.1447799951 0.004999999888 19.8106 0.13965
14108 0.1324300021 0.004999999888 19.9293 0.1333
14331 0.219750002 1.70000003e-05 21.00055 0.1346
14397 0.384920001 3.700000161e-05 22.40575 0.14945
14421 0.173999995 2.700000005e-05 20.3461 0.1115
14451 0.1778900027 0.0005000000237 20.20345 0.1224
14735 0.299360007 2.499999937e-05 21.51975 0.1301
14871 0.1184500009 0.0005000000237 19.44875 0.1339
14979 0.1765300035 0.004999999888 20.2397 0.106
15057 0.2455199957 1.299999985e-05 21.3752 0.1882
15129 0.1961099952 0.0001999999949 20.54825 0.11935
15161 0.2485200018 4.600000102e-05 21.09655 0.1326
15213 0.3063200116 0.0 21.77705 0.16135
15219 0.2463700026 2.499999937e-05 21.1569 0.13055
15234 0.1351736486 2.200000017e-05 19.9671 0.1135
15259 0.2105399966 9.999999747e-05 20.6402 0.1335
15287 0.2363000065 8.399999933e-05 21.1547 0.12315
15301 0.1785099953 4.89999984e-05 20.37535 0.1134
15354 0.2206799984 0.0005000000237 20.81795 0.15445
15383 0.3149400055 6.500000018e-05 21.8201 0.1572
15421 0.1844300032 2.499999937e-05 20.55175 0.1118
15440 0.2612900138 4.700000136e-05 21.2036 0.13865
15443 0.1812299937 1.499999962e-05 20.21145 0.10535
15456 0.3804799914 0.0 22.03255 0.1506
15461 0.1848099977 0.004999999888 20.38765 0.1082
15467 0.2084700018 9.999999747e-05 20.65465 0.12075
15583 0.1770599931 0.0005000000237 20.33625 0.12905
15776 0.3158200085 0.0 21.7168 0.15355
15868 0.2497300059 3.199999992e-05 21.1676 0.1247
15901 0.2036799937 1.899999916e-05 20.6509 0.11955
16021 0.1233922541 3.099999958e-05 19.4198 0.10285
16032 0.2031800002 0.0005000000237 20.64385 0.12035
16073 0.1533900052 1.70000003e-05 20.1226 0.10495
16093 0.3343900144 0.0 21.9349 0.1592
16099 0.1958000064 2.099999983e-05 20.5286 0.1151
16106 0.2497300059 0.0 21.0769 0.14445
16116 0.1550900042 3.899999865e-05 20.0251 0.1063
16165 0.1559599936 0.0 19.98785 0.12595
16206 0.1583476961 2.800000038e-05 19.81685 0.12375
16211 0.3093799949 8.099999832e-05 21.8114 0.19685
16213 0.2485699952 0.0 21.1261 0.1388
16281 0.1850699931 5.700000111e-05 20.31575 0.1235
17168 0.1837600023 1.899999916e-05 20.5074 0.1247
17215 0.1807900071 4.300000001e-05 20.37965 0.13765
17218 0.1769600064 1.800000064e-05 20.28545 0.129
17220 0.1776800007 3.199999992e-05 20.0718 0.12115
17240 0.07159391791 1.999999949e-05 18.0121 0.1254
17366 0.1381115615 1.299999985e-05 19.66285 0.10475
17389 0.169599995 2.499999937e-05 20.46515 0.1317
17464 0.2455500066 0.0 20.7198 0.14705
17497 0.1439232081 2.700000005e-05 19.81665 0.10485
17552 0.251910001 4.099999933e-05 21.2338 0.1462
17784 0.03714794293 1.499999962e-05 16.7708 0.1166
17791 0.27748999 0.0 21.8807 0.2055
17809 0.2874599993 3.600000127e-05 21.2668 0.1491
17811 0.1986699998 0.0005000000237 20.61015 0.13895
17825 0.1599899977 0.004999999888 20.07605 0.129
17875 0.2107499987 0.0005000000237 21.0136 0.15075
17884 0.2377499938 2.999999924e-05 21.0147 0.1316
18030 0.1551699936 2.300000051e-05 20.14265 0.11795
18241 0.09384600073 0.009999999776 18.94955 0.14945
18323 0.1527100056 1.800000064e-05 20.08555 0.11355
18325 0.25722 3.300000026e-05 21.2741 0.1446
18466 0.212259993 0.004999999888 20.80065 0.1303
18486 0.2453999966 0.0006000000285 20.88445 0.13085
18602 0.1369705647 2.300000051e-05 19.76485 0.11075
18617 0.3256900012 5.400000009e-05 21.9051 0.1809
18697 0.1064128578 1.800000064e-05 19.09035 0.10245
